,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
192,MINDTREE,EQ,19-Feb-2018,713.2,708.0,713.95,680.55,692.0,691.55,692.45,877372,607535395.75,24079,370748,42.26,2,2018,584.3821972167141,-0.030356141334829112,Slight or No change
193,MINDTREE,EQ,20-Feb-2018,691.55,696.75,704.95,687.4,700.1,697.8,697.96,480291,335226011.1,22783,109854,22.87,2,2018,584.759749104253,0.009037669004410276,Slight or No change
194,MINDTREE,EQ,21-Feb-2018,697.8,696.0,728.3,696.0,727.65,726.15,723.47,2196558,1589153742.3,64976,668466,30.43,2,2018,586.880019058351,0.04062768701633712,Slight or No change
195,MINDTREE,EQ,22-Feb-2018,726.15,730.0,743.9,729.75,741.55,740.7,739.28,1953791,1444400508.65,55278,588173,30.1,2,2018,588.9047407315244,0.0200371824003307,Slight or No change
196,MINDTREE,EQ,23-Feb-2018,740.7,745.95,836.15,744.0,815.0,811.9,788.77,5970601,4709426999.9,106521,1296565,21.72,2,2018,597.5277926880349,0.09612528689077893,Slight or No change
197,MINDTREE,EQ,26-Feb-2018,811.9,821.4,825.8,774.15,797.1,801.85,809.13,4040833,3269554289.25,91367,516997,12.79,2,2018,602.7387091785824,-0.012378371720655146,Slight or No change
198,MINDTREE,EQ,27-Feb-2018,801.85,804.0,812.0,794.75,805.6,802.7,803.49,1493764,1200217856.3,29625,313777,21.01,2,2018,604.6062938696737,0.0010600486375258455,Slight or No change
199,MINDTREE,EQ,28-Feb-2018,802.7,800.15,820.0,793.15,815.6,815.1,811.18,2762568,2240952927.85,51782,508597,18.41,2,2018,608.1803963409676,0.015447863460819722,Slight or No change
200,MINDTREE,EQ,01-Mar-2018,815.1,820.0,824.35,810.05,812.0,814.05,818.21,1343617,1099362449.1,25412,137094,10.2,3,2018,609.8666030889093,-0.0012881854987119024,Slight or No change
201,MINDTREE,EQ,05-Mar-2018,814.05,808.25,871.2,808.1,870.0,859.55,839.59,4171893,3502676054.5,81890,728203,17.45,3,2018,616.0590054731164,0.05589337264295802,Slight or No change
202,MINDTREE,EQ,06-Mar-2018,859.55,870.0,870.6,820.05,824.0,826.1,844.53,2558913,2161084700.6,59375,398580,15.58,3,2018,619.2063124515437,-0.038915711709615386,Slight or No change
203,MINDTREE,EQ,07-Mar-2018,826.1,822.0,849.4,817.0,833.0,831.3,833.49,2935071,2446354839.9,59039,384507,13.1,3,2018,622.7899584653198,0.006294637453092777,Slight or No change
204,MINDTREE,EQ,08-Mar-2018,831.3,836.0,843.4,814.35,815.9,817.2,824.58,1748332,1441638346.0,35212,456795,26.13,3,2018,624.7271481055542,-0.016961385781306237,Slight or No change
205,MINDTREE,EQ,09-Mar-2018,817.2,823.0,829.0,809.0,815.1,813.85,817.96,1201294,982609348.75,23612,175133,14.58,3,2018,626.0132030399744,-0.004099363680861501,Slight or No change
206,MINDTREE,EQ,12-Mar-2018,813.85,819.0,828.0,810.6,817.6,815.15,818.65,1266696,1036977583.35,32386,299620,23.65,3,2018,627.3597196446833,0.0015973459482705454,Slight or No change
207,MINDTREE,EQ,13-Mar-2018,815.15,816.25,825.0,795.2,802.0,800.85,807.95,1627811,1315182116.45,45627,561694,34.51,3,2018,628.9325691695929,-0.0175427835367723,Slight or No change
208,MINDTREE,EQ,14-Mar-2018,800.85,800.0,815.0,791.75,799.3,799.55,801.34,2064666,1654491410.9,36201,728597,35.29,3,2018,630.8721854436491,-0.0016232752700257036,Slight or No change
209,MINDTREE,EQ,15-Mar-2018,799.55,801.55,849.9,801.55,839.0,843.65,828.48,3644018,3018979591.75,58704,487441,13.38,3,2018,635.0574406143527,0.05515602526421115,Slight or No change
210,MINDTREE,EQ,16-Mar-2018,843.65,839.0,842.95,809.1,813.9,812.35,823.49,2317309,1908283753.5,44918,399006,17.22,3,2018,637.2476767545854,-0.037100693415515806,Slight or No change
211,MINDTREE,EQ,19-Mar-2018,812.35,819.5,819.5,772.4,775.7,779.4,785.28,2165988,1700910529.4,62915,527146,24.34,3,2018,638.8703847882728,-0.04056133440019705,Slight or No change
212,MINDTREE,EQ,20-Mar-2018,779.4,772.0,782.9,751.2,776.15,772.95,770.29,3039294,2341151922.25,78794,660352,21.73,3,2018,640.9841878648319,-0.00827559661277899,Slight or No change
213,MINDTREE,EQ,21-Mar-2018,772.95,780.0,807.0,779.25,791.0,790.9,797.06,3525369,2809945563.9,78334,536442,15.22,3,2018,643.6764109270721,0.023222718157707378,Slight or No change
214,MINDTREE,EQ,22-Mar-2018,790.9,793.0,795.0,767.55,772.8,772.65,776.15,1811863,1406271404.5,42813,427911,23.62,3,2018,644.8559033784833,-0.02307497787330892,Slight or No change
215,MINDTREE,EQ,23-Mar-2018,772.65,760.0,787.0,744.65,781.15,782.75,772.48,2566950,1982927323.6,44666,356235,13.88,3,2018,646.6196708463551,0.013071895424836555,Slight or No change
216,MINDTREE,EQ,26-Mar-2018,782.75,779.95,786.0,767.0,773.0,771.9,774.59,1917738,1485455180.45,50284,706404,36.84,3,2018,647.8054943977446,-0.013861386138613874,Slight or No change
217,MINDTREE,EQ,27-Mar-2018,771.9,776.7,781.95,770.1,772.65,772.8,775.98,1188074,921926091.55,30584,420914,35.43,3,2018,648.5341848459169,0.0011659541391371153,Slight or No change
218,MINDTREE,EQ,28-Mar-2018,772.8,775.25,780.0,767.2,769.95,771.95,773.97,1567402,1213116759.75,59581,602684,38.45,3,2018,649.4761448155664,-0.0010998964803311528,Slight or No change
219,MINDTREE,EQ,02-Apr-2018,771.95,782.0,812.8,772.5,811.0,810.2,802.53,2650454,2127057290.65,72612,679665,25.64,4,2018,651.5240628828658,0.049549841310965625,Slight or No change
220,MINDTREE,EQ,03-Apr-2018,810.2,801.0,809.4,792.4,802.0,800.65,801.64,979266,785020740.2,26710,321717,32.85,4,2018,652.2228197329516,-0.01178721303381891,Slight or No change
221,MINDTREE,EQ,04-Apr-2018,800.65,807.9,808.45,776.75,782.7,779.55,792.35,997207,790134947.4,22811,136530,13.69,4,2018,652.8274798670571,-0.026353587709985637,Slight or No change
222,MINDTREE,EQ,05-Apr-2018,779.55,790.9,807.7,790.0,805.95,805.95,800.99,1772130,1419463222.75,45516,747685,42.19,4,2018,654.1088949442693,0.03386569174523779,Slight or No change
223,MINDTREE,EQ,06-Apr-2018,805.95,806.95,840.55,805.6,831.75,831.7,831.17,2996695,2490769632.9,62841,777517,25.95,4,2018,656.5869797534729,0.031949872820894676,Slight or No change
224,MINDTREE,EQ,09-Apr-2018,831.7,840.0,848.5,808.3,821.5,822.25,832.31,2063424,1717411936.4,38161,447557,21.69,4,2018,658.163551018217,-0.011362270049296685,Slight or No change
225,MINDTREE,EQ,10-Apr-2018,822.25,824.45,845.85,823.0,827.5,827.75,835.24,2429594,2029286296.95,47965,583720,24.03,4,2018,660.042802760779,0.006688963210702337,Slight or No change
226,MINDTREE,EQ,11-Apr-2018,827.75,830.0,842.2,825.0,830.1,829.95,833.36,1228266,1023591600.2,30169,213114,17.35,4,2018,660.9893409348848,0.0026578073089702503,Slight or No change
227,MINDTREE,EQ,12-Apr-2018,829.95,835.0,847.0,833.1,838.15,836.4,841.13,1871051,1573787997.5,30896,379599,20.29,4,2018,662.4654060650913,0.007771552503162749,Slight or No change
228,MINDTREE,EQ,13-Apr-2018,836.4,840.6,859.0,830.1,853.0,852.15,851.25,3021559,2572097159.05,46183,683550,22.62,4,2018,665.0085155867998,0.018830703012912453,Slight or No change
229,MINDTREE,EQ,16-Apr-2018,852.15,843.5,872.0,840.6,869.7,868.85,859.31,2623973,2254802323.35,50626,351131,13.38,4,2018,667.3545081002765,0.0195974887050403,Slight or No change
230,MINDTREE,EQ,17-Apr-2018,868.85,870.1,884.95,861.0,884.0,882.95,876.4,2788226,2443603207.7,50460,586181,21.02,4,2018,669.9592423326565,0.016228347816078736,Slight or No change
231,MINDTREE,EQ,18-Apr-2018,882.95,884.0,895.85,859.85,867.35,865.1,879.17,3311973,2911793171.2,75927,740853,22.37,4,2018,672.7200889333507,-0.02021632028993714,Slight or No change
232,MINDTREE,EQ,19-Apr-2018,865.1,895.0,902.0,879.0,898.0,897.6,891.29,5773178,5145590809.95,93356,1086925,18.83,4,2018,678.1325230295471,0.03756791122413583,Slight or No change
233,MINDTREE,EQ,20-Apr-2018,897.6,908.8,1013.45,903.05,987.95,979.85,953.14,11466392,10929110378.9,170808,1474641,12.86,4,2018,691.8974746388445,0.09163324420677355,Slight or No change
234,MINDTREE,EQ,23-Apr-2018,979.85,978.95,1027.7,966.3,999.8,1000.6,1007.97,8986864,9058494220.75,142134,735807,8.19,4,2018,702.5545515524741,0.02117671072102878,Slight or No change
235,MINDTREE,EQ,24-Apr-2018,1000.6,1005.0,1011.8,978.0,998.5,999.95,993.43,4012024,3985683753.1,84211,637591,15.89,4,2018,707.0683834752526,-0.0006496102338596765,Slight or No change
236,MINDTREE,EQ,25-Apr-2018,999.95,993.0,1042.5,993.0,1034.0,1033.7,1030.05,6427671,6620844935.65,127086,1134197,17.65,4,2018,714.8223733950731,0.0337516875843793,Slight or No change
237,MINDTREE,EQ,26-Apr-2018,1033.7,1046.6,1088.0,1035.75,1083.3,1070.6,1055.19,5349404,5644625698.7,90314,678800,12.69,4,2018,721.7152539417636,0.035697010738125146,Slight or No change
238,MINDTREE,EQ,27-Apr-2018,1070.6,1080.3,1080.3,1043.25,1048.6,1050.7,1053.89,2486572,2620570181.8,60580,388313,15.62,4,2018,724.6515503843774,-0.01858770782738639,Slight or No change
239,MINDTREE,EQ,30-Apr-2018,1050.7,1063.75,1098.0,1053.0,1085.0,1084.6,1087.26,2842415,3090435434.85,61955,379046,13.34,4,2018,728.286868434815,0.03226420481583703,Slight or No change
240,MINDTREE,EQ,02-May-2018,1084.6,1086.95,1101.2,1041.8,1057.0,1051.65,1064.11,1793498,1908480152.5,34241,351064,19.57,5,2018,730.3344783377663,-0.030379863544163555,Slight or No change
241,MINDTREE,EQ,03-May-2018,1051.65,1055.2,1091.6,1025.85,1027.1,1031.85,1054.84,3878653,4091348077.4,79451,636716,16.42,5,2018,734.407713286248,-0.01882755669661973,Slight or No change
242,MINDTREE,EQ,04-May-2018,1031.85,1032.0,1037.95,997.05,1014.0,1010.05,1012.08,3284715,3324409018.3,52776,558384,17.0,5,2018,737.525540478989,-0.021127101807433157,Slight or No change
243,MINDTREE,EQ,07-May-2018,1010.05,1020.0,1034.0,1006.55,1014.5,1014.75,1018.52,1298823,1322874365.7,25451,240345,18.5,5,2018,738.7599291614478,0.0046532349883670054,Slight or No change
244,MINDTREE,EQ,08-May-2018,1014.75,1024.8,1045.7,1018.0,1030.75,1031.3,1034.7,2532266,2620137319.2,63883,526070,20.77,5,2018,741.277670873299,0.016309435821630913,Slight or No change
245,MINDTREE,EQ,09-May-2018,1031.3,1035.95,1042.0,1011.15,1020.0,1018.05,1028.41,1820504,1872230563.9,61006,559311,30.72,5,2018,742.9796409518797,-0.012847861921846171,Slight or No change
246,MINDTREE,EQ,10-May-2018,1018.05,1026.0,1034.0,1014.2,1020.0,1016.8,1024.11,1385624,1419038095.5,54310,472363,34.09,5,2018,744.2552594761112,-0.0012278375325377455,Slight or No change
247,MINDTREE,EQ,11-May-2018,1016.8,1026.8,1028.0,995.95,1006.9,1007.55,1008.63,1512123,1525174353.45,30700,422670,27.95,5,2018,745.587052306484,-0.009097167584579124,Slight or No change
248,MINDTREE,EQ,14-May-2018,1007.55,1011.7,1011.7,987.8,989.0,994.1,996.28,1331607,1326651390.25,38435,404610,30.39,5,2018,746.6891047445918,-0.01334921343853901,Slight or No change
249,MINDTREE,EQ,15-May-2018,994.1,983.4,1021.8,983.4,1003.7,1001.15,1007.06,1854585,1867677266.2,50349,497490,26.82,5,2018,748.251068338277,0.0070918418670153915,Slight or No change
250,MINDTREE,EQ,16-May-2018,1001.15,999.95,1014.2,994.05,1006.2,1005.25,1005.29,1049191,1054742487.7,26505,258571,24.64,5,2018,749.1404403524514,0.004095290416021635,Slight or No change
251,MINDTREE,EQ,17-May-2018,1005.25,1017.6,1017.8,995.9,1004.0,1001.7,1003.99,744864,747834815.05,26753,236062,31.69,5,2018,749.7594147753983,-0.0035314598358616722,Slight or No change
252,MINDTREE,EQ,18-May-2018,1001.7,1004.0,1011.8,998.8,1009.25,1006.35,1006.02,829188,834183034.75,20221,260465,31.41,5,2018,750.4575545478109,0.004642108415693347,Slight or No change
253,MINDTREE,EQ,21-May-2018,1006.35,1018.5,1036.4,1009.5,1029.1,1029.6,1026.75,2073515,2128985998.25,63264,511461,24.67,5,2018,752.3439678041051,0.0231032940825755,Slight or No change
254,MINDTREE,EQ,22-May-2018,1029.6,1034.95,1040.0,1011.15,1019.5,1018.9,1022.75,1342710,1373253664.2,24240,153849,11.46,5,2018,753.5053579945625,-0.010392385392385295,Slight or No change
255,MINDTREE,EQ,23-May-2018,1018.9,1021.5,1045.0,1018.0,1034.95,1033.9,1034.13,1219984,1261623571.1,24329,156289,12.81,5,2018,754.611002157932,0.01472175875944659,Slight or No change
256,MINDTREE,EQ,24-May-2018,1033.9,1041.0,1055.0,1030.35,1039.3,1038.35,1042.04,1358248,1415350831.0,27464,209406,15.42,5,2018,755.8511893164073,0.004304091304768276,Slight or No change
257,MINDTREE,EQ,25-May-2018,1038.35,1041.65,1052.0,1020.0,1026.45,1023.6,1041.35,1089298,1134345897.15,23416,229629,21.08,5,2018,756.786473681412,-0.014205229450570456,Slight or No change
258,MINDTREE,EQ,28-May-2018,1023.6,1035.7,1036.35,1006.0,1011.0,1011.45,1015.77,749223,761036388.9,21793,216540,28.9,5,2018,757.3968604138529,-0.011869871043376334,Slight or No change
259,MINDTREE,EQ,29-May-2018,1011.45,1013.0,1037.0,1005.4,1018.1,1018.45,1021.14,1199307,1224662158.85,23922,108493,9.05,5,2018,758.3946143651482,0.006920757328587657,Slight or No change
260,MINDTREE,EQ,30-May-2018,1018.45,1018.95,1029.4,1012.6,1020.05,1019.05,1020.56,582903,594886534.5,24559,152318,26.13,5,2018,758.8779192091797,0.0005891305415091086,Slight or No change
261,MINDTREE,EQ,31-May-2018,1019.05,1024.95,1025.15,1002.5,1009.6,1007.95,1011.49,1218668,1232671204.15,35915,597425,49.02,5,2018,759.8397270402883,-0.010892497914724464,Slight or No change
262,MINDTREE,EQ,01-Jun-2018,1007.95,1015.95,1025.0,984.0,1008.95,1006.7,1006.73,1293503,1302208164.7,27564,214905,16.61,6,2018,760.8474011403473,-0.0012401408800040148,Slight or No change
263,MINDTREE,EQ,04-Jun-2018,1006.7,1011.75,1011.8,992.4,1003.0,999.85,1000.39,638201,638446798.45,15481,226967,35.56,6,2018,761.3277842911543,-0.006804410449985143,Slight or No change
264,MINDTREE,EQ,05-Jun-2018,999.85,1003.75,1009.9,966.95,993.8,990.85,986.41,1047824,1033587852.1,30050,210419,20.08,6,2018,762.0827199038195,-0.009001350202530345,Slight or No change
265,MINDTREE,EQ,06-Jun-2018,990.85,994.05,1020.2,970.15,1019.95,1013.8,998.74,1096128,1094743789.45,35614,136047,12.41,6,2018,762.945856229643,0.02316193167482461,Slight or No change
266,MINDTREE,EQ,07-Jun-2018,1013.8,1022.8,1026.6,1009.1,1013.45,1013.4,1015.34,572990,581778803.4,20482,153530,26.79,6,2018,763.3939847588036,-0.00039455513908071005,Slight or No change
267,MINDTREE,EQ,08-Jun-2018,1013.4,1016.85,1038.0,1010.55,1028.0,1028.3,1029.69,875389,901377668.15,26640,98805,11.29,6,2018,764.116146845434,0.014702980067100802,Slight or No change
268,MINDTREE,EQ,11-Jun-2018,1028.3,1033.0,1036.65,1019.0,1036.0,1032.9,1029.83,548900,565276103.35,14394,112941,20.58,6,2018,764.574812743275,0.0044734027034913915,Slight or No change
269,MINDTREE,EQ,12-Jun-2018,1032.9,1030.05,1051.5,1022.0,1043.75,1044.0,1043.41,1204328,1256609734.25,40695,392520,32.59,6,2018,765.617099892973,0.010746442056346117,Slight or No change
270,MINDTREE,EQ,13-Jun-2018,1044.0,1048.95,1053.0,1024.2,1030.5,1028.75,1039.73,1007461,1047483577.9,28215,393971,39.11,6,2018,766.4356163156506,-0.01460727969348663,Slight or No change
271,MINDTREE,EQ,14-Jun-2018,1028.75,1020.05,1023.4,985.1,994.05,992.75,995.31,2227827,2217374127.85,69585,541951,24.33,6,2018,767.9817266198946,-0.0349939246658566,Slight or No change
272,MINDTREE,EQ,15-Jun-2018,992.75,1001.0,1008.95,988.55,1003.6,1002.5,1000.01,1308496,1308512796.95,34175,221932,16.96,6,2018,768.9189795469083,0.009821203727020889,Slight or No change
273,MINDTREE,EQ,18-Jun-2018,1002.5,1007.95,1008.45,988.0,993.3,991.9,994.77,641852,638496370.6,17580,175460,27.34,6,2018,769.3552541800445,-0.0105735660847881,Slight or No change
274,MINDTREE,EQ,19-Jun-2018,991.9,994.0,994.1,973.85,985.1,984.25,980.92,906317,889023203.15,23270,241267,26.62,6,2018,769.9473130706573,-0.007712471015223321,Slight or No change
275,MINDTREE,EQ,20-Jun-2018,984.25,989.95,1004.75,979.4,995.1,996.2,996.55,987342,983933393.75,33862,241152,24.42,6,2018,770.6243600323298,0.01214122428244857,Slight or No change
276,MINDTREE,EQ,21-Jun-2018,996.2,998.0,1009.95,980.35,988.7,989.85,998.92,1007610,1006519962.85,26613,159170,15.8,6,2018,771.2918073560444,-0.006374222043766364,Slight or No change
277,MINDTREE,EQ,22-Jun-2018,989.85,992.9,994.0,976.75,986.15,983.85,982.52,615604,604846126.75,21395,152404,24.76,6,2018,771.68645124716,-0.006061524473405022,Slight or No change
278,MINDTREE,EQ,25-Jun-2018,983.85,985.85,986.35,946.7,953.15,953.2,964.12,1366241,1317215671.05,35789,455097,33.31,6,2018,772.4313146154218,-0.03115312293540684,Slight or No change
279,MINDTREE,EQ,26-Jun-2018,953.2,952.0,972.5,916.55,970.75,967.05,940.55,2224769,2092515285.5,57383,369188,16.59,6,2018,773.723180074031,0.014530004196390944,Slight or No change
280,MINDTREE,EQ,27-Jun-2018,967.05,973.7,986.6,945.35,970.6,973.15,967.63,2198459,2127296901.45,52100,377381,17.17,6,2018,775.0227819796849,0.006307843441393901,Slight or No change
281,MINDTREE,EQ,28-Jun-2018,973.15,971.0,979.8,949.05,957.9,953.0,961.03,1169352,1123785926.95,24341,217235,18.58,6,2018,775.6375557542091,-0.020705954888763256,Slight or No change
282,MINDTREE,EQ,29-Jun-2018,953.0,958.05,994.8,958.05,986.35,986.9,976.8,1049747,1025393811.6,29800,251269,23.94,6,2018,776.2906381396806,0.03557187827911856,Slight or No change
